category,title,date,url
Commercial Banking,Payment of Pension to Government Pensioners,2026-04-30,https://www.rbi.org.in/commonman/Upload/English/FAQs/PDFs/FAQPENSION01042024.pdf
Commercial Banking,FAQs on the circular on Reset of Floating Interest Rate on Equated Monthly Instalments (EMI) based Personal Loans,2025-10-01,https://www.rbi.org.in/commonman/Upload/English/FAQs/PDFs/FAQRFIR10012025.pdf
Commercial Banking,FAQs on Master Direction on KYC,2025-06-09,https://www.rbi.org.in/commonman/Upload/English/FAQs/PDFs/KYC09062025.pdf
Commercial Banking,"FAQs on Master Directions on Fraud Risk Management in Regulated Entities (REs), 2024",2025-04-22,https://www.rbi.org.in/commonman/Upload/English/FAQs/PDFs/RISK22042025.pdf
Commercial Banking,"FAQs on Master Direction - Reserve Bank of India (Interest Rate on Deposits) Directions, 2025",2025-04-01,https://www.rbi.org.in/commonman/Upload/English/FAQs/PDFs/FAQIRD01042025.pdf
Commercial Banking,"Gold Monetization Scheme (GMS), 2015",2025-03-25,https://www.rbi.org.in/commonman/Upload/English/FAQs/PDFs/FAQGOLD25032025.pdf
Commercial Banking,Guidelines on Default Loss Guarantee in Digital Lending,2024-11-05,https://www.rbi.org.in/commonman/Upload/English/FAQs/PDFs/FAQONDEFAULTLOSSGUARANTEEINDIGITALLENDING.pdf
Commercial Banking,"FAQs on Master Direction (MD) - Credit Card and Debit Card - Issuance and Conduct Directions, 2022",2024-03-07,https://www.rbi.org.in/commonman/Upload/English/FAQs/PDFs/FAQMDCreditCardandDebitCard.pdf
Commercial Banking,"Depositor Education and Awareness (DEA) Fund Scheme, 2014",2024-03-05,https://www.rbi.org.in/commonman/Upload/English/FAQs/PDFs/FAQonDEAFundScheme2014_05032024.pdf
Commercial Banking,UDGAM Portal,2024-03-05,https://www.rbi.org.in/commonman/Upload/English/FAQs/PDFs/FAQonUDGAMPortal.pdf
Commercial Banking,Fair Lending Practice - Penal Charges in Loan Accounts,2024-01-15,https://www.rbi.org.in/commonman/english/scripts/FAQs.aspx?Id=3558
Commercial Banking,Framework for acceptance of Green Deposits,2023-12-29,https://www.rbi.org.in/commonman/english/scripts/FAQs.aspx?Id=3545
Commercial Banking,Digital Lending Guidelines,2023-02-14,https://www.rbi.org.in/commonman/english/scripts/FAQs.aspx?Id=3413
Commercial Banking,"FAQs on Master Direction - Reserve Bank of India (Transfer of Loan Exposures) Directions, 2021 (MD-TLE)",2022-12-05,https://www.rbi.org.in/commonman/english/scripts/FAQs.aspx?Id=3374
Commercial Banking,Compliance functions in banks and Role of Chief Compliance Officer (CCO),2021-02-02,https://www.rbi.org.in/commonman/english/scripts/FAQs.aspx?Id=3264
Commercial Banking,"Senior Citizens Savings Scheme, 2004",2019-12-12,https://rbidocs.rbi.org.in/rdocs/content/pdfs/SCSSGOL17042020.pdf
Commercial Banking,Marginal Cost of Funds based Lending Rate (MCLR),2016-03-29,https://www.rbi.org.in/commonman/english/scripts/FAQs.aspx?Id=1691
